Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Godrej,150,3.0,1.5,905.41,2024,35490,55900,36,5.0,4.0,18307,1520
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
MITASHI,90,3.0,1.0,765.59,2018,29500,40500,27,5.0,4.1,1420,361
Sansui,150,5.0,1.5,859.325,2025,63990,57798,40,1.0,4.1,10652,2264
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Godrej,90,3.0,0.8,513.39,2024,37700,57798,40,5.0,4.0,380,27
Lloyd,150,3.0,1.5,1180.51,2023,25990,43990,40,1.0,4.1,3118,334
LG,150,5.0,1.5,744.75,2025,84990,57798,40,1.0,4.2,42295,4041
Godrej,150,5.0,1.5,859.325,2024,31699,60999,48,5.0,4.0,622,61
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Blue Star,90,3.0,0.8,859.325,2025,23290,27600,15,1.0,4.1,495,33
Voltas,150,3.0,1.5,859.325,2025,31400,54990,42,1.0,4.2,76440,6627
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Haier,90,5.0,1.0,541.48,2025,32999,67000,50,5.0,3.9,528,71
Panasonic,150,3.0,1.5,859.325,2025,33800,61900,45,1.0,4.2,22368,2199
Voltas,150,5.0,1.5,859.325,2024,32390,49990,35,1.0,4.3,8293,876
Godrej,150,5.0,1.5,859.325,2025,32000,60900,47,1.0,4.0,622,61
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Hitachi,90,3.0,1.0,859.325,2025,30490,50700,39,1.0,4.0,2323,304
O-General,200,3.0,2.0,859.325,2025,61490,65990,6,1.0,3.0,6,1
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Hitachi,150,3.0,1.5,859.325,2025,34890,53050,34,1.0,4.0,10198,1239
Mitsubishi,200,3.0,1.9,1212.1,2024,54986,72000,23,1.0,3.4,13,1
Lloyd,150,3.0,1.5,859.325,2025,26990,43990,38,1.0,4.1,3118,334
CARRIER,150,5.0,1.5,859.325,2026,34990,58190,39,1.0,4.3,1021,112
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Mitsubishi,150,2.0,1.5,1122.45,2024,40880,49000,16,1.0,3.8,15,0
Midea,150,5.0,1.5,754.05,2023,37990,68990,44,1.0,4.3,3013,468
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Blue Star,90,3.0,0.8,544.39,2024,28490,39100,27,1.0,4.2,6546,721
Godrej,150,5.0,1.5,859.325,2025,33200,54900,39,1.0,4.0,10543,1072
Daikin,150,3.0,1.5,881.05,2022,34982,61049,42,5.0,4.2,20497,1541
Voltas,150,5.0,1.5,859.325,2025,38350,89900,57,1.0,4.2,38086,3644
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Godrej,150,5.0,1.5,728.37,2024,34350,56500,39,5.0,4.0,10543,1072
Blue Star,90,3.0,1.0,0.0,2020,30900,39000,20,1.0,3.7,4721,632
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Lloyd,150,3.0,1.5,1180.51,2023,25850,47990,46,1.0,4.1,3118,334
Voltas,200,3.0,2.0,1220.59,2024,40190,79990,49,5.0,4.1,1623,146
O-General,110,3.0,1.2,983.12,2023,29990,34590,13,1.0,4.0,24,1
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Lloyd,150,3.0,1.5,1215.35,2022,39122,40990,4,1.0,4.1,3118,334
Hitachi,90,3.0,1.0,859.325,2025,30699,48900,37,1.0,4.0,2323,304
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,5.0,1.4,690.34,2025,34350,50400,31,5.0,3.9,73,4
LG,150,5.0,1.5,744.75,2025,46990,84990,44,1.0,4.2,42295,4041
Daikin,150,4.0,2.6,1476.47,2025,85199,115230,26,5.0,3.1,11,3
IFB,150,3.0,1.5,859.325,2025,36990,67286,45,1.0,4.2,7601,805
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Hitachi,90,3.0,1.0,921.0,2021,25749,32990,21,1.0,4.3,1208,139
Hitachi,90,2.0,1.0,921.0,2023,24000,31990,24,1.0,4.0,375,41
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
CARRIER,150,3.0,1.5,859.325,2026,34490,65900,47,1.0,4.2,35577,4407
Sharp,150,5.0,1.5,859.325,2025,64990,57798,40,1.0,3.7,24,3
Voltas,150,3.0,1.5,1037.79,2024,31790,62990,49,1.0,4.2,76440,6627
Samsung,200,3.0,2.0,2000.0,2025,44490,89490,50,1.0,4.0,353,18
Haier,200,5.0,1.6,859.325,2025,43650,85000,48,1.0,4.1,179,16
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Daikin,90,3.0,0.8,548.84,2023,25490,37400,31,1.0,4.2,4584,464
Panasonic,150,5.0,1.5,774.19,2024,38570,67900,43,1.0,4.3,20029,2152
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Panasonic,200,5.0,2.0,926.31,2024,51970,83400,37,1.0,4.4,912,97
Panasonic,150,3.0,1.5,859.325,2025,32070,55400,42,1.0,4.2,22368,2199
Haier,150,3.0,1.5,987.76,2023,31650,62500,49,1.0,4.0,5332,534
Whirlpool,90,3.0,1.0,684.14,2024,29490,57700,48,1.0,4.1,10778,1224
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Acer,150,3.0,1.5,964.77,2025,26985,45999,41,1.0,3.8,58,7
Hitachi,200,3.0,2.0,859.325,2025,48770,75400,35,1.0,4.0,507,67
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Godrej,150,3.0,1.5,980.37,2025,30990,45050,31,5.0,4.0,18307,1520
Hitachi,150,3.0,1.5,1039.62,2022,36879,52500,29,1.0,4.0,10198,1239
Voltas,150,5.0,1.5,859.325,2024,38650,71690,46,1.0,4.2,38086,3644
Daikin,150,4.0,2.2,1184.53,2024,58590,86800,32,1.0,4.3,84,6
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Voltas,90,5.0,1.0,511.13,2024,33490,63990,47,5.0,4.2,1851,234
Panasonic,90,5.0,1.0,531.41,2023,44990,64400,30,1.0,4.2,3865,426
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Hitachi,150,3.0,1.5,1194.27,2025,29799,41499,28,1.0,4.1,6339,663
Blue Star,150,5.0,1.5,770.98,2023,39850,73000,45,1.0,4.2,12556,1070
Lloyd,150,3.0,1.5,940.43,2024,29480,61990,52,1.0,4.1,19215,2111
O-General,150,5.0,1.5,799.44,2023,71990,82100,12,1.0,4.1,82,17
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Godrej,150,5.0,1.5,859.325,2025,34490,50600,31,5.0,4.0,10543,1072
Haier,150,5.0,1.5,880.3,2020,38650,65000,40,1.0,4.1,2090,252
IFB,90,5.0,1.0,859.325,2025,32790,64990,49,1.0,4.0,54,3
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Frigidaire,150,3.0,1.5,1000.34,2023,30999,57980,46,1.0,3.8,5,1
Panasonic,90,3.0,1.0,859.325,2025,28970,53900,46,1.0,4.2,5180,594
CARRIER,200,5.0,2.0,859.325,2025,54490,88000,38,1.0,4.2,2140,238
Daikin,90,3.0,1.0,680.4,2025,32999,44420,25,5.0,4.1,4200,358
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Haier,200,5.0,1.6,836.95,2023,39559,76500,48,5.0,4.1,179,16
ONIDA,150,3.0,1.5,969.15,2023,29431,45233,34,1.0,4.1,15072,1776
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,5.0,1.0,518.75,2025,32990,58890,43,1.0,4.2,1851,234
Voltas,90,3.0,1.0,682.59,2024,27590,56990,51,1.0,4.1,7833,861
IFB,150,3.0,1.5,859.325,2025,34850,60500,42,1.0,4.2,7601,805
Panasonic,150,5.0,1.5,774.19,2024,42860,72900,41,1.0,4.3,20029,2152
Panasonic,90,5.0,1.0,523.98,2023,33970,61900,45,1.0,4.2,3865,426
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Voltas,150,5.0,1.5,751.28,2023,35570,75990,53,1.0,4.2,38086,3644
LG,200,3.0,2.0,859.325,2025,51990,78990,34,1.0,4.1,1471,111
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Godrej,150,3.0,1.5,1046.29,2022,29599,47900,38,5.0,4.0,18307,1520
Panasonic,200,3.0,2.0,1170.01,2023,57990,76900,24,1.0,4.2,794,69
Voltas,200,2.0,2.0,1542.79,2023,33290,50990,34,1.0,4.1,158,9
CARRIER,90,3.0,1.0,1120.0,2022,24999,37590,33,1.0,4.2,563,73
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Voltas,150,5.0,1.5,751.28,2024,36990,75990,51,1.0,4.2,38086,3644
Haier,150,3.0,1.5,859.325,2025,31020,62500,50,1.0,4.0,5332,534
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Whirlpool,150,5.0,1.5,701.52,2023,38490,70600,45,1.0,4.2,20918,2369
Blue Star,200,5.0,2.0,935.89,2025,51890,85000,38,1.0,4.0,279,15
Blue Star,150,3.0,1.5,1456.0,2021,58999,61972,4,1.0,4.1,24469,2069
Godrej,150,3.0,1.5,1006.54,2024,29567,45900,35,1.0,4.0,18307,1520
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Panasonic,200,3.0,2.0,1215.89,2024,51645,70400,26,1.0,4.2,794,69
Whirlpool,150,3.0,1.5,941.42,2024,28999,37200,22,1.0,4.1,29651,3512
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Haier,150,4.0,1.5,913.0,2024,37573,69000,45,5.0,4.0,216,16
Blue Star,90,3.0,0.8,521.6,2023,41500,41833,40,1.0,4.2,6546,721
Godrej,90,3.0,1.0,752.71,2021,26999,42900,37,1.0,4.0,7284,668
Daikin,150,3.0,1.5,989.31,2022,37090,55600,33,1.0,4.2,20497,1541
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Haier,200,3.0,2.0,1276.55,2024,44999,83990,46,5.0,4.0,91,8
Daikin,90,5.0,1.0,859.325,2024,35799,54200,33,5.0,4.2,1649,166
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Daikin,90,5.0,1.0,523.54,2022,37850,60500,37,1.0,4.2,1649,166
Hitachi,200,3.0,1.8,1236.39,2022,45999,69600,33,1.0,3.7,179,12
Lloyd,90,3.0,1.0,709.86,2023,29200,49990,41,1.0,4.1,4840,538
Haier,200,3.0,2.0,1276.55,2023,45890,82990,44,5.0,4.0,91,8
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Panasonic,150,5.0,1.5,859.325,2025,39999,62500,36,1.0,4.3,20029,2152
Samsung,150,5.0,1.5,859.325,2025,42188,79190,46,1.0,4.2,25552,2605
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
CARRIER,90,3.0,1.0,870.87,2023,24940,39990,37,1.0,4.2,563,73
Lloyd,90,3.0,1.0,644.02,2023,26199,39990,34,1.0,4.1,4840,538
Godrej,90,3.0,1.0,772.56,2024,24970,35990,30,1.0,4.3,141,7
Sharp,150,5.0,1.5,859.325,2025,64990,57798,40,1.0,3.7,24,3
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Whirlpool,150,5.0,1.5,859.325,2025,36450,70500,48,1.0,4.2,20918,2369
LG,200,3.0,2.0,1230.49,2023,64490,89990,28,1.0,4.1,1471,111
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Whirlpool,150,3.0,1.5,1015.5,2023,32450,64999,50,1.0,4.1,29651,3512
Blue Star,150,3.0,1.5,859.325,2025,33990,63750,46,1.0,4.1,24469,2069
Mitsubishi,90,3.0,1.0,859.325,2025,31380,44000,28,1.0,3.0,10,1
Hitachi,150,5.0,1.5,1305.63,2021,43650,60500,27,1.0,4.0,4987,700
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Godrej,150,3.0,1.5,965.71,2023,29599,45400,34,5.0,4.0,18307,1520
Whirlpool,200,3.0,2.0,1197.2,2025,37990,47000,19,1.0,4.0,754,81
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Voltas,150,3.0,1.5,859.325,2025,31990,54990,41,1.0,4.2,76440,6627
Lloyd,90,3.0,0.8,859.325,2024,24900,41990,40,1.0,4.1,2759,390
Godrej,150,3.0,1.5,859.325,2023,36990,54900,32,1.0,4.1,7833,861
Samsung,150,3.0,1.5,1900.0,2024,35990,63490,43,1.0,4.1,35239,3226
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Voltas,150,5.0,1.5,742.94,2023,41990,79990,47,1.0,4.2,38086,3644
O-General,200,3.0,2.0,859.325,2024,61449,68900,10,1.0,3.0,6,1
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Voltas,110,3.0,1.2,1700.0,2021,26366,54990,52,1.0,4.2,8773,980
CARRIER,90,5.0,1.0,859.325,2024,36850,62500,41,5.0,4.1,4439,700
Blue Star,150,3.0,1.5,859.325,2025,28799,39500,27,1.0,4.2,1808,175
Voltas,150,5.0,1.5,859.325,2024,41350,89900,54,1.0,4.2,38086,3644
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,980.37,2022,31990,47899,33,1.0,4.0,18307,1520
Lloyd,150,3.0,1.5,859.325,2024,30499,69999,56,1.0,4.1,19215,2111
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Lloyd,150,5.0,1.5,1044.27,2025,50490,57798,40,1.0,4.1,1160,144
Lloyd,150,5.0,1.5,780.56,2025,38350,69990,45,1.0,4.1,10738,1307
Daikin,150,3.0,1.5,859.325,2025,36499,53800,32,1.0,4.2,20497,1541
Godrej,90,5.0,1.0,584.46,2022,29990,48000,37,1.0,4.0,2352,235
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Lloyd,90,3.0,1.0,774.11,2022,23430,43900,46,1.0,4.1,961,111
Voltas,150,5.0,1.5,769.14,2023,38350,75400,49,1.0,4.2,38086,3644
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Hitachi,90,3.0,1.0,669.16,2023,32145,54300,40,1.0,4.0,2323,304
Hitachi,90,3.0,1.0,669.16,2023,35110,55400,36,1.0,4.0,2323,304
Whirlpool,150,3.0,1.5,943.67,2024,30850,65400,52,1.0,4.1,29651,3512
Godrej,150,3.0,1.5,1046.29,2021,29599,43900,32,1.0,4.0,18307,1520
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,5.0,1.5,840.2,2022,34650,55900,38,1.0,4.0,10543,1072
Voltas,90,3.0,1.0,672.93,2022,26899,56990,52,1.0,4.1,7833,861
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Blue Star,200,3.0,2.0,859.325,2025,39590,50700,21,1.0,3.9,148,13
Hitachi,200,5.0,2.0,859.325,2025,55507,98950,43,1.0,4.0,108,18
Blue Star,200,3.0,2.0,1250.18,2022,48190,63999,24,1.0,4.0,1100,68
Hitachi,150,5.0,1.5,859.325,2024,40129,75850,47,1.0,4.0,4987,700
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Haier,90,3.0,1.0,697.66,2024,30179,60000,49,1.0,4.1,1431,131
Panasonic,200,5.0,2.0,859.325,2025,60870,87900,30,1.0,4.4,912,97
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Godrej,150,3.0,1.5,1003.51,2024,28699,47990,40,1.0,4.0,18307,1520
Daikin,150,5.0,1.5,785.67,2023,39509,66443,40,1.0,4.3,14326,1261
Acer,90,5.0,1.0,523.76,2024,29299,48999,40,1.0,4.1,7833,861
Hitachi,150,5.0,1.5,859.325,2025,44690,80500,44,1.0,4.0,4987,700
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Hitachi,90,3.0,1.0,859.325,2025,28599,48900,41,1.0,4.0,2323,304
Godrej,200,3.0,2.0,1201.27,2022,37990,51990,26,1.0,3.9,1692,104
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
