Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Haier,90,3.0,1.0,859.325,2023,28051,58000,51,5.0,4.1,1431,131
Godrej,90,5.0,1.0,516.37,2024,29990,48900,38,1.0,4.0,2352,235
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Blue Star,150,5.0,1.5,783.33,2024,39850,75400,47,1.0,5.0,4,0
Lloyd,150,5.0,1.5,751.65,2023,38990,68990,43,1.0,4.1,10738,1307
Samsung,150,3.0,1.5,859.325,2023,36681,60990,39,1.0,4.1,35239,3226
Blue Star,90,3.0,1.0,694.32,2022,33450,50400,33,1.0,4.1,4401,411
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
LG,150,5.0,1.5,818.81,2022,43445,80500,46,1.0,4.2,42295,4041
Panasonic,90,3.0,1.0,859.325,2025,30430,49100,38,1.0,4.2,5180,594
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Hitachi,90,5.0,1.0,585.85,2022,41322,54600,24,1.0,4.2,956,166
Godrej,150,3.0,1.5,859.325,2022,27290,47990,43,1.0,4.1,7833,861
Blue Star,90,3.0,1.0,705.48,2025,30050,50400,40,1.0,4.1,4401,411
Godrej,200,3.0,2.0,1231.6,2024,71950,91250,21,5.0,4.1,7833,861
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Lloyd,90,3.0,1.0,571.99,2021,34645,50990,32,1.0,4.1,4840,538
CARRIER,150,5.0,1.5,754.05,2022,39850,76090,47,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
CARRIER,90,5.0,1.0,536.2,2024,36850,64900,43,1.0,4.1,4439,700
LG,150,3.0,1.5,2250.0,2021,50000,59990,16,1.0,4.1,39723,3780
Lloyd,150,5.0,1.5,859.325,2025,56490,83390,32,1.0,4.1,10738,1307
Blue Star,200,5.0,2.0,1087.24,2020,53150,76000,30,1.0,4.0,279,15
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
LG,150,3.0,1.5,859.325,2026,37490,80290,53,1.0,4.1,39723,3780
Samsung,90,3.0,1.0,859.325,2026,67990,57798,40,1.0,4.2,8392,905
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Voltas,150,3.0,1.5,1220.59,2022,33450,78500,57,1.0,4.2,76440,6627
Whirlpool,150,3.0,1.5,1087.22,2020,32450,53950,39,1.0,4.1,29651,3512
IFB,150,5.0,1.5,859.325,2025,45899,79272,42,1.0,4.1,11805,1023
Godrej,150,3.0,1.5,998.42,2021,29990,54990,45,1.0,4.0,18307,1520
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Voltas,150,3.0,1.5,604.19,2021,34850,51990,32,1.0,4.2,76440,6627
Voltas,150,3.0,1.5,1590.0,2022,34250,50000,31,1.0,4.2,76440,6627
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Lloyd,90,3.0,1.0,700.06,2023,26999,49990,45,1.0,4.1,4840,538
LG,150,5.0,1.5,835.5,2020,42650,66500,35,10.0,4.2,42295,4041
LG,150,5.0,1.5,921.0,2021,43540,75400,42,1.0,4.2,42295,4041
CARRIER,150,3.0,1.5,859.325,2026,30990,47090,34,1.0,4.3,2425,276
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Daikin,110,5.0,1.2,859.325,2025,36490,46460,21,5.0,4.1,7833,861
Midea,150,3.0,1.5,859.325,2026,29490,59200,50,5.0,4.3,17785,2754
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
White,90,3.0,1.0,756.82,2020,29818,56490,47,1.0,4.1,7833,861
ONIDA,90,3.0,0.8,859.325,2025,23990,35000,31,1.0,3.9,27,5
CARRIER,90,3.0,1.0,859.325,2025,31400,58690,46,1.0,4.2,13023,1541
Blue Star,90,5.0,1.0,517.12,2022,37950,55400,31,1.0,4.1,2223,226
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2563,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Godrej,150,3.0,1.4,859.325,2025,27149,49990,45,1.0,3.9,2563,205
Haier,150,3.0,1.5,925.24,2023,32650,64500,49,1.0,4.0,5332,534
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
CARRIER,150,3.0,1.5,1750.0,2022,35350,67599,47,1.0,4.2,35577,4407
CARRIER,150,5.0,1.5,859.325,2024,40650,78990,48,1.0,4.2,24631,3377
Daikin,90,3.0,1.0,859.325,2025,32999,44420,25,1.0,4.1,4200,358
Haier,200,5.0,1.6,859.325,2025,42877,80100,46,1.0,4.1,179,16
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
O-General,110,3.0,1.2,859.325,2023,29599,31540,6,1.0,4.1,7833,861
Godrej,200,3.0,2.0,859.325,2025,38990,60990,36,1.0,3.9,1692,104
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Midea,150,5.0,1.5,859.325,2026,36990,68700,46,5.0,4.3,3012,467
Lloyd,150,3.0,1.5,859.325,2024,32599,60990,46,1.0,4.1,19215,2111
iMEE,150,5.0,1.5,1360.0,2022,37597,79999,53,1.0,4.1,7833,861
iMEE,150,3.0,1.5,1835.0,2022,32970,79999,58,1.0,4.1,7833,861
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Godrej,200,3.0,2.0,1231.6,2024,91250,57798,40,5.0,4.1,7833,861
Electrolux,200,3.0,1.8,1210.26,2023,45444,83990,45,1.0,4.1,7833,861
Panasonic,150,5.0,1.5,858.92,2022,43850,70500,37,1.0,4.3,20029,2152
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
CARRIER,200,3.0,2.0,1665.0,2022,48650,75999,35,1.0,4.2,4041,478
Haier,90,5.0,1.0,859.325,2023,34720,60500,42,5.0,3.9,528,71
Voltas,150,5.0,1.5,1355.0,2020,38650,60500,36,1.0,4.2,38086,3644
CARRIER,90,5.0,1.0,859.325,2025,36990,79890,53,1.0,4.1,4439,700
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Voltas,150,3.0,1.5,859.325,2025,34890,59790,41,1.0,4.2,76440,6627
Lloyd,150,4.0,1.5,972.33,2022,40200,59900,32,1.0,4.2,1445,208
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Panasonic,90,3.0,1.0,859.325,2025,33260,54000,38,1.0,4.2,5180,594
Lloyd,150,3.0,1.4,400.0,2021,33746,57990,41,1.0,3.3,3,1
Haier,150,3.0,1.5,1089.14,2021,33650,62990,46,5.0,4.0,5332,534
Haier,200,5.0,1.6,836.95,2024,40999,82000,50,1.0,4.1,179,16
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Haier,200,5.0,1.6,859.325,2025,40999,82000,50,5.0,4.1,179,16
CARRIER,90,3.0,1.0,1118.0,2021,30350,45400,33,1.0,4.2,13023,1541
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,5.0,1.0,518.75,2025,32990,58890,43,1.0,4.2,1851,234
Panasonic,150,3.0,1.5,859.325,2025,34970,55400,36,1.0,4.2,22368,2199
Blue Star,150,5.0,1.5,774.88,2024,41858,74250,43,1.0,4.2,12556,1070
CARRIER,150,3.0,1.5,0.0,2019,33650,60500,44,1.0,4.2,35585,4407
Hitachi,200,4.0,1.8,1084.82,2022,52649,61300,14,1.0,3.1,32,5
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
BLACK+DECKER,200,3.0,2.0,1248.28,2024,46999,71999,34,2.0,4.1,7833,861
Hitachi,150,5.0,1.5,823.18,2023,42580,76600,44,1.0,4.0,4987,700
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Hitachi,150,3.0,1.5,1703.04,2021,37150,50600,26,1.0,4.0,10198,1239
Hitachi,150,5.0,1.5,813.13,2023,42850,80500,46,1.0,4.0,4987,700
Daikin,200,5.0,1.8,923.07,2022,64350,85600,24,1.0,4.0,202,21
Haier,90,3.0,1.0,694.49,2023,30560,61490,50,1.0,4.1,1431,131
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Lloyd,150,3.0,1.5,1490.0,2021,34330,52990,35,1.0,4.1,19215,2111
Whirlpool,150,3.0,1.5,859.325,2025,32450,65400,50,1.0,4.1,29651,3512
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Haier,200,5.0,1.6,828.37,2023,42850,80500,46,1.0,4.1,179,16
LG,90,5.0,1.0,521.2,2023,74382,75999,2,1.0,4.2,7074,769
Lloyd,150,5.0,1.5,794.34,2022,38289,75900,49,1.0,4.1,10738,1307
CARRIER,90,3.0,1.0,2550.0,2021,30105,45900,34,1.0,4.2,13023,1541
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2563,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Panasonic,200,3.0,2.0,1975.0,2024,44290,67290,34,1.0,4.2,794,69
Voltas,150,5.0,1.5,758.96,2024,40660,79990,49,1.0,4.2,38065,3643
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
BPL,150,5.0,1.5,859.325,2023,34190,56490,39,1.0,4.1,7833,861
Blue Star,150,5.0,1.5,774.88,2023,60000,57798,40,1.0,4.2,12556,1070
Blue Star,150,3.0,1.5,1087.62,2023,36580,60500,39,1.0,4.1,24456,2068
Blue Star,150,3.0,1.5,998.07,2023,34490,64750,46,1.0,4.1,24456,2068
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Haier,200,5.0,1.6,836.95,2024,39499,79000,50,1.0,4.1,179,16
Voltas,150,3.0,1.5,975.26,2024,31500,64990,51,1.0,4.2,76440,6627
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Haier,150,3.0,1.5,925.24,2023,33850,80500,57,1.0,4.0,5332,534
Hitachi,150,5.0,1.5,813.13,2023,40990,62400,34,1.0,4.0,4987,700
Voltas,200,3.0,2.0,859.325,2022,42350,75000,43,1.0,4.1,1623,146
Voltas,200,3.0,2.0,859.325,2021,42350,74264,42,1.0,4.1,1623,146
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Hitachi,200,4.0,1.8,1096.51,2023,57350,90500,36,1.0,3.1,32,5
Acer,90,3.0,1.0,655.42,2025,25989,41499,37,1.0,4.1,44,4
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Whirlpool,90,5.0,1.0,515.27,2023,33990,64200,47,1.0,4.1,6189,751
Blue Star,90,3.0,1.0,705.78,2023,34050,50400,32,1.0,4.1,4401,411
Blue Star,90,5.0,1.0,517.12,2023,38250,60500,36,1.0,4.1,2223,226
CARRIER,90,5.0,1.0,0.0,2019,37850,60500,37,1.0,4.1,4439,700
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Hitachi,90,5.0,1.0,533.61,2023,38499,63350,39,1.0,4.2,956,166
Voltas,150,5.0,1.5,897.84,2021,38650,60490,36,1.0,4.2,38086,3644
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Voltas,150,5.0,1.5,893.02,2022,37850,75400,49,1.0,4.2,38086,3644
Voltas,150,5.0,1.5,893.02,2022,38650,75400,48,1.0,4.2,38086,3644
Haier,150,3.0,1.5,859.325,2025,34999,64990,46,1.0,4.0,5332,534
Daikin,150,3.0,1.5,1045.0,2019,37499,48000,21,1.0,4.2,20497,1541
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Voltas,150,3.0,1.5,859.325,2022,33590,68990,51,1.0,3.6,10,1
Daikin,150,3.0,1.5,966.47,2024,34160,69990,51,1.0,4.2,20497,1541
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Voltas,200,3.0,2.0,859.325,2024,50770,99990,49,1.0,4.1,1623,146
Hitachi,200,4.0,1.8,1096.51,2023,57999,96450,39,1.0,3.1,32,5
Electrolux,90,5.0,1.0,518.39,2023,35180,62990,44,1.0,2.3,7,3
Daikin,150,3.0,1.5,967.4,2023,35900,58400,38,5.0,4.2,20497,1541
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
BLACK+DECKER,150,3.0,1.5,859.325,2025,39999,55999,28,1.0,4.1,7833,861
Lloyd,150,5.0,1.5,859.325,2025,59880,94990,36,1.0,4.1,10738,1307
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
BPL,200,3.0,2.0,859.325,2024,37900,64990,41,1.0,4.1,7833,861
Lloyd,150,5.0,1.5,715.07,2023,36770,64900,43,1.0,4.1,10738,1307
Blue Star,90,3.0,1.0,859.325,2024,27500,32911,16,1.0,4.2,1654,176
Daikin,150,3.0,2.02,1372.85,2022,60999,86800,29,5.0,3.9,70,4
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Daikin,150,3.0,2.02,1372.85,2022,70450,90500,22,1.0,3.9,70,4
Hitachi,90,5.0,1.0,533.61,2023,41138,63500,35,1.0,4.2,956,166
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,200,3.0,2.0,1145.22,2023,46635,82990,43,1.0,4.0,353,18
Blue Star,150,3.0,1.5,998.07,2022,34150,61500,44,1.0,4.1,24469,2069
Hitachi,90,5.0,1.0,533.61,2023,40322,60500,33,1.0,4.2,956,166
Hitachi,200,3.0,1.8,1251.0,2023,59866,80500,25,1.0,3.7,179,12
CARRIER,150,3.0,1.5,952.68,2025,32990,62900,47,1.0,4.2,35585,4407
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,150,3.0,1.5,1039.98,2019,32850,55600,40,1.0,4.2,76440,6627
Haier,150,3.0,1.5,859.325,2025,27990,39900,29,1.0,3.9,409,36
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
CARRIER,90,3.0,1.0,1595.0,2021,32450,45999,29,1.0,4.2,13025,1541
Daikin,90,4.0,1.0,680.58,2021,34859,50700,31,1.0,4.3,396,41
Blue Star,90,3.0,1.0,681.21,2023,31599,46250,31,1.0,4.1,4401,411
Lloyd,150,3.0,1.5,999.69,2022,34490,66000,47,1.0,4.1,19215,2111
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
Blue Star,90,5.0,1.0,600.91,2021,38650,58999,34,1.0,4.1,2223,226
Blue Star,150,3.0,1.5,975.37,2021,36540,59000,38,1.0,4.1,24469,2069
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Blue Star,150,3.0,1.5,1012.44,2024,33850,60500,44,1.0,4.1,24469,2069
Haier,90,2.0,1.0,752.43,2022,49943,52490,4,1.0,4.0,102,12
Electrolux,150,5.0,1.5,758.6,2023,73990,57798,40,1.0,3.8,24,5
O-General,150,5.0,1.5,859.325,2023,41900,44630,6,1.0,4.1,7833,861
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Blue Star,150,3.0,1.5,1026.37,2024,33490,63500,47,1.0,4.1,24469,2069
Godrej,200,3.0,2.0,1276.27,2024,64939,109000,40,5.0,4.1,7833,861
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Blue Star,150,3.0,1.5,1076.23,2022,33850,52250,35,1.0,4.1,24456,2068
Voltas,150,3.0,1.5,859.325,2023,42050,80990,48,1.0,4.1,7833,861
Haier,200,5.0,1.6,828.37,2023,42850,79990,46,5.0,4.1,179,16
O-General,90,4.0,1.0,1560.0,2021,36926,42680,13,1.0,2.0,6,0
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Godrej,150,3.0,1.5,1123.23,2021,29599,45990,35,1.0,4.0,18307,1520
Hitachi,150,3.0,1.5,1024.34,2023,37039,63100,41,1.0,4.0,10198,1239
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Whirlpool,150,5.0,1.5,867.41,2020,36050,62433,42,1.0,4.2,20918,2369
Lloyd,150,3.0,1.5,1222.32,2022,49005,52999,7,1.0,4.1,3118,334
O-General,200,3.0,2.0,859.325,2023,73386,77900,5,1.0,4.1,7833,861
Hitachi,200,2.0,2.0,859.325,2024,43290,66900,35,1.0,3.7,35,4
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Blue Star,150,5.0,1.5,774.88,2022,39850,74500,46,1.0,4.2,12556,1070
BLACK+DECKER,150,5.0,1.5,706.85,2024,42999,66999,35,2.0,2.3,3,1
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Lloyd,150,3.0,1.5,859.325,2025,31799,55990,43,1.0,4.1,19215,2111
Voltas,150,3.0,1.5,859.325,2024,31990,64990,50,1.0,4.2,76440,6627
